Sex,Age,Height,Weight,NOC,Year,Medal,sport_en
0,17.0,172.0,63.0,4,2008,2.0,40
0,20.0,172.0,63.0,4,2012,1.0,40
0,22.0,183.0,75.0,4,2008,1.0,30
0,24.0,170.0,63.0,4,2012,2.0,50
1,24.0,175.0,66.0,4,2000,1.0,42
1,24.0,175.0,66.0,4,2000,2.0,42
0,16.0,153.0,43.0,4,2004,2.0,14
0,16.0,153.0,43.0,4,2004,1.0,14
1,26.0,163.0,63.0,4,2004,2.0,49
1,28.0,193.0,77.0,4,2012,1.0,16
0,27.0,155.0,47.0,4,2016,3.0,45
1,27.0,168.0,77.0,4,2008,2.0,49
0,21.0,168.0,63.0,4,2008,2.0,23
0,18.0,180.0,70.0,4,2004,2.0,40
1,26.0,174.0,76.0,4,2002,2.0,34
1,26.0,174.0,76.0,4,2002,3.0,34
1,30.0,174.0,76.0,4,2006,3.0,34
0,27.0,160.0,55.0,4,2014,1.0,34
1,24.0,170.0,64.0,4,2004,2.0,33
0,22.0,176.0,75.0,4,2012,3.0,9
0,24.0,164.0,53.0,4,2000,2.0,42
0,24.0,164.0,53.0,4,2000,1.0,42
0,27.0,187.0,73.0,4,2008,3.0,47
0,16.0,162.0,47.0,4,2000,2.0,14
0,16.0,162.0,47.0,4,2000,1.0,14
0,19.0,177.0,67.0,4,2000,3.0,16
0,31.0,177.0,67.0,4,2012,1.0,16
0,23.0,160.0,52.0,4,2006,2.0,19
0,27.0,160.0,52.0,4,2010,2.0,19
0,26.0,180.0,75.0,4,2016,3.0,9
0,24.0,185.0,72.0,4,2004,1.0,47
0,16.0,145.0,36.0,4,2008,1.0,21
0,30.0,161.0,56.0,4,2008,2.0,23
0,21.0,165.0,63.0,4,2000,2.0,25
0,24.0,180.0,72.0,4,2004,1.0,44
0,17.0,157.0,44.0,4,2004,1.0,14
1,22.0,172.0,63.0,4,2008,3.0,1
0,23.0,167.0,51.0,4,2016,2.0,41
1,19.0,162.0,56.0,4,2000,1.0,21
1,19.0,162.0,56.0,4,2000,1.0,21
